state,indicator_id,indicator,indicator_category,urban,rural,total,total_2005-06
Delhi,23,#N/A,#N/A,19.3,22.3,19.4,23
Goa,1,Population (female) age 6 years and above who ever attended school (%),Population and Household Profile ,87.1,81.6,85,78
Goa,2,Population below age 15 years (%),Population and Household Profile ,25,20,23.2,23.9
Goa,3,"Sex ratio of the total population (females per 1,000 males)",Population and Household Profile ,996,1054,1018,1028
Goa,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Population and Household Profile ,894,1109,966,921
Goa,5,Children under age 5 years whose birth was registered (%),Population and Household Profile ,98.9,99,98.9,94.7
Goa,6,Households with electricity (%),Population and Household Profile ,99.8,99.9,99.8,96.4
Goa,7,Households with an improved drinking-water source1 (%),Population and Household Profile ,97.8,93.7,96.3,79.9
Goa,8,Households using improved sanitation facility (%),Population and Household Profile ,76.8,80.8,78.3,60.9
Goa,9,Households using clean fuel for cooking (%),Population and Household Profile ,91,72,84.1,61.3
Goa,10,Households using iodized salt (%),Population and Household Profile ,97.6,92.5,95.7,77.3
Goa,11,Households with any usual member covered by a health scheme or health insurance (%),Population and Household Profile ,18.5,11.4,15.9,11.1
Goa,12,Women who are literate (%),Characteristics of Adults (age 15-49) ,88,90.8,89,83.6
Goa,13,Men who are literate (%),Characteristics of Adults (age 15-49) ,93.5,96.6,94.7,90.3
Goa,14,Women with 10 or more years of schooling (%),Characteristics of Adults (age 15-49) ,58.5,57.7,58.2,48.9
Goa,15,Women age 20-24 years married before age 18 years (%),Marriage and Fertility,14.8,2.7,9.8,11.7
Goa,16,Men age 25-29 years married before age 21 years (%),Marriage and Fertility,-17.3,0,10.6,7.2
Goa,17,Total fertility rate (children per woman),Marriage and Fertility,1.7,1.6,1.7,1.8
Goa,18,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Marriage and Fertility,3.6,1.8,2.9,3.6
Goa,19,Infant mortality rate (IMR),"Infant and Child Mortality Rates (per 1,000 live births)",*,*,13,15
Goa,20,Under-five mortality rate (U5MR),"Infant and Child Mortality Rates (per 1,000 live births)",*,*,13,20
Goa,21,Any method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),33.2,13.5,26.3,48.2
Goa,22,Any modern method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),31.6,12,24.8,37.2
Goa,24,Male sterilization (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0,0,0,0.1
Goa,25,IUD/PPIUD (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0.9,0.9,0.9,2.3
Goa,26,Pill (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0.4,0.3,0.3,1.5
Goa,27,Condom (%),Current Use of Family Planning Methods (currently married women age 15-49 years),8.5,4.4,7.1,7.5
Goa,28,Total unmet need (%),Unmet Need for Family Planning (currently married women age 15-49 years),16.9,18.7,17.5,15.2
Goa,29,Unmet need for spacing (%),Unmet Need for Family Planning (currently married women age 15-49 years),8,8.8,8.3,7.5
Goa,30,Health worker ever talked to female non-users about family planning (%),Quality of Family Planning Services,49.6,36.8,44.2,19.4
Goa,31,Current users ever told about side effects of current method (%),Quality of Family Planning Services,-76.6,*,-76,38.4
Goa,32,Mothers who had antenatal check-up in the first trimester (%),Maternity Care (for last birth in the 5 years before the survey),84.7,83.9,84.4,85.7
Goa,33,Mothers who had at least 4 antenatal care visits (%),Maternity Care (for last birth in the 5 years before the survey),90.6,86.2,89,92.4
Goa,34,Mothers whose last birth was protected against neonatal tetanus (%),Maternity Care (for last birth in the 5 years before the survey),97.6,93.9,96.2,86.8
Goa,35,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Maternity Care (for last birth in the 5 years before the survey),66.3,69.5,67.4,59.6
Goa,36,Mothers who had full antenatal care (%),Maternity Care (for last birth in the 5 years before the survey),64.4,61.6,63.4,57.4
Goa,37,Registered pregnancies for which the mother received Mother and Child Protection (MCP) card (%),Maternity Care (for last birth in the 5 years before the survey),99.5,91,96.3,na
Goa,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Maternity Care (for last birth in the 5 years before the survey),93,90.5,92.1,75.3
Goa,39,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),Maternity Care (for last birth in the 5 years before the survey),6.8,8.4,7.4,na
Goa,40,Average out of pocket expenditure per delivery in public health facility (Rs.),Maternity Care (for last birth in the 5 years before the survey),4159,5941,4836,na
Goa,41,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),Maternity Care (for last birth in the 5 years before the survey),*,*,*,0
Goa,42,Children who received a health check after birth from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of birth (%),Maternity Care (for last birth in the 5 years before the survey),50.3,48.1,49.5,na
Goa,43,Institutional births (%),Delivery Care (for births in the 5 years before the survey),95.8,98.8,96.9,92.3
Goa,44,Institutional births in public facility (%),Delivery Care (for births in the 5 years before the survey),57.3,59.9,58.2,43.2
Goa,45,Home delivery conducted by skilled health personnel (out of total deliveries) (%),Delivery Care (for births in the 5 years before the survey),2.8,0,1.8,1.9
Goa,46,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),Delivery Care (for births in the 5 years before the survey),97.5,97.6,97.5,94
Goa,47,Births delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),33.5,27.7,31.4,25.7
Goa,48,Births in a private health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),58.9,37.7,51.3,36.7
Goa,49,Births in a public health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),18.8,21.8,19.9,17.9
Goa,50,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",Child Immunizations and Vitamin A Supplementation,-87.7,-90.1,88.4,78.6
Goa,51,Children age 12-23 months who have received BCG (%),Child Immunizations and Vitamin A Supplementation,-100,-100,100,96.8
Goa,52,Children age 12-23 months who have received 3 doses of polio vaccine (%),Child Immunizations and Vitamin A Supplementation,-93.7,-91.4,92.9,87.2
Goa,53,Children age 12-23 months who have received 3 doses of DPT vaccine (%),Child Immunizations and Vitamin A Supplementation,-94,-94.7,94.2,87.5
Goa,54,Children age 12-23 months who have received measles vaccine (%),Child Immunizations and Vitamin A Supplementation,-95.6,-98.2,96.5,91.2
Goa,55,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),Child Immunizations and Vitamin A Supplementation,-89.7,-75.9,85.2,na
Goa,56,Children age 9-59 months who received a vitamin A dose in last 6 months (%),Child Immunizations and Vitamin A Supplementation,88.3,91.7,89.5,31
Goa,57,Children age 12-23 months who received most of the vaccinations in public health facility (%),Child Immunizations and Vitamin A Supplementation,-72.7,-86.4,77.2,83.2
Goa,58,Children age 12-23 months who received most of the vaccinations in private health facility (%),Child Immunizations and Vitamin A Supplementation,-27.3,-13.6,22.8,15.5
Goa,59,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),3,5.2,3.8,6.8
Goa,60,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),Treatment of Childhood Diseases (children under age 5 years),*,*,*,50.6
Goa,61,Children with diarrhoea in the last 2 weeks who received zinc (%),Treatment of Childhood Diseases (children under age 5 years),*,*,*,na
Goa,62,Children with diarrhoea in the last 2 weeks taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),*,*,*,72.1
Goa,63,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),0.9,2.4,1.4,3.6
Goa,64,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),-89.1,-88.7,89,83.2
Goa,65,Children under age 3 years breastfed within one hour of birth (%),Child Feeding Practices and Nutritional Status of Children,72.5,74.7,73.3,59.7
Goa,66,Children under age 6 months exclusively breastfed (%),Child Feeding Practices and Nutritional Status of Children,*,*,-60.9,17.7
Goa,67,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),Child Feeding Practices and Nutritional Status of Children,*,*,*,66.8
Goa,68,Breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,-9.3,-8.6,9.1,na
Goa,69,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,*,*,-15.1,na
Goa,70,Total children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,11.5,8.2,10.4,na
Goa,71,Children under 5 years who are stunted (height-for-age) (%),Child Feeding Practices and Nutritional Status of Children,18.3,23.2,20.1,25.6
Goa,72,Children under 5 years who are wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,27.7,11.5,21.9,14.1
Goa,73,Children under 5 years who are severely wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,13.7,2.1,9.5,5.6
Goa,74,Children under 5 years who are underweight (weight-for-age) (%),Child Feeding Practices and Nutritional Status of Children,25.3,21.2,23.8,25
Goa,75,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),10.3,22.2,14.7,27.9
Goa,76,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),8.4,14.7,10.8,24.7
Goa,77,Women who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),36.3,28.5,33.5,20.2
Goa,78,Men who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),35.3,28.2,32.6,15.5
Goa,79,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,52.2,41.2,48.3,38.2
Goa,80,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),Anaemia among Children and Adults,30.9,32.1,31.4,37.9
Goa,81,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,*,*,-26.7,36.9
Goa,82,All women age 15-49 years who are anaemic (%),Anaemia among Children and Adults,30.8,32,31.3,38
Goa,83,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Anaemia among Children and Adults,12.3,8.7,11,10.4
Goa,84,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,8.4,9.8,8.9,na
Goa,85,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.9,5.8,5.2,na
Goa,86,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,12.6,11.9,12.3,na
Goa,87,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,7.9,6.3,7.3,na
Goa,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.7,5.6,6.3,na
Goa,89,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,1.4,1.7,1.5,na
Goa,90,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,0.8,0.6,0.7,na
Goa,91,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,8.4,14,10.5,na
Goa,92,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,2.8,2.6,2.7,na
Goa,93,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,0,0.1,0,na
Goa,94,Cervix (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,51.3,47.6,49.9,na
Goa,95,Breast (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,44.6,45.9,45.1,na
Goa,96,Oral cavity (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,51.6,52.3,51.8,na
Goa,97,Women who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),36,32.2,34.6,28.5
Goa,98,Men who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),42.9,40.4,41.9,30.3
Goa,99,Women who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),80.8,71.5,77.4,47.6
Goa,100,Men who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),91.9,84.7,89.2,56.8
Goa,101,Currently married women who usually participate in household decisions (%),Women's Empowerment and Gender Based Violence (age 15-49 years),94.5,92.6,93.8,91.1
Goa,102,Women who worked in the last 12 months who were paid in cash (%),Women's Empowerment and Gender Based Violence (age 15-49 years),24.7,21.7,23.6,33.2
Goa,103,Ever-married women who have ever experienced spousal violence (%),Women's Empowerment and Gender Based Violence (age 15-49 years),15.3,8.7,12.9,16.8
Goa,104,Ever-married women who have experienced violence during any pregnancy (%),Women's Empowerment and Gender Based Violence (age 15-49 years),1.9,0.9,1.6,na
Goa,105,Women owning a house and/or land (alone or jointly with others) (%),Women's Empowerment and Gender Based Violence (age 15-49 years),33.4,34.8,33.9,na
Goa,106,Women having a bank or savings account that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),84.4,79.9,82.8,42.4
Goa,107,Women having a mobile phone that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),81.5,79.8,80.9,na
Goa,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),Women's Empowerment and Gender Based Violence (age 15-49 years),94.1,81.7,89.3,na
Goa,109,Women who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),1.7,2.3,1.9,4.4
Goa,110,Men who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),22.1,18.6,20.8,27.8
Goa,111,Women who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),4.2,4.4,4.2,2.1
Goa,112,Men who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),49.4,37,44.7,40
Goa,113,Women who tried to stop smoking or using tobacco in any other form during the past 12 months (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),*,*,-21.9,na
Goa,114,Men who tried to stop smoking or using tobacco in any other form (during the past 12 months) (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),5.1,9.5,6.6,na
Goa,23,#N/A,#N/A,21.6,6.3,16.3,25.8
Gujarat,1,Population (female) age 6 years and above who ever attended school (%),Population and Household Profile ,82.6,64,72,65.3
Gujarat,2,Population below age 15 years (%),Population and Household Profile ,23.7,27.8,26,31.6
Gujarat,3,"Sex ratio of the total population (females per 1,000 males)",Population and Household Profile ,907,984,950,934
Gujarat,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Population and Household Profile ,835,960,907,906
Gujarat,5,Children under age 5 years whose birth was registered (%),Population and Household Profile ,97.2,94.8,95.8,85.6
Gujarat,6,Households with electricity (%),Population and Household Profile ,98.6,93.7,96,89.3
Gujarat,7,Households with an improved drinking-water source1 (%),Population and Household Profile ,92.7,89.4,90.9,89.2
Gujarat,8,Households using improved sanitation facility (%),Population and Household Profile ,85.3,47,64.3,44.2
Gujarat,9,Households using clean fuel for cooking (%),Population and Household Profile ,83.8,26.9,52.6,39.7
Gujarat,10,Households using iodized salt (%),Population and Household Profile ,97.7,93.7,95.5,72.1
Gujarat,11,Households with any usual member covered by a health scheme or health insurance (%),Population and Household Profile ,22.9,23.3,23.1,10.2
Gujarat,12,Women who are literate (%),Characteristics of Adults (age 15-49) ,83.1,64.8,72.9,63.8
Gujarat,13,Men who are literate (%),Characteristics of Adults (age 15-49) ,93,86.6,89.6,83
Gujarat,14,Women with 10 or more years of schooling (%),Characteristics of Adults (age 15-49) ,45.3,23.1,33,23.5
Gujarat,15,Women age 20-24 years married before age 18 years (%),Marriage and Fertility,17.2,30.7,24.9,38.7
Gujarat,16,Men age 25-29 years married before age 21 years (%),Marriage and Fertility,22,34.5,28.4,31.4
Gujarat,17,Total fertility rate (children per woman),Marriage and Fertility,1.8,2.2,2,2.4
Gujarat,18,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Marriage and Fertility,4.2,7.9,6.5,12.7
Gujarat,19,Infant mortality rate (IMR),"Infant and Child Mortality Rates (per 1,000 live births)",27,39,34,50
Gujarat,20,Under-five mortality rate (U5MR),"Infant and Child Mortality Rates (per 1,000 live births)",32,51,43,61
Gujarat,21,Any method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),47.1,46.7,46.9,66.6
Gujarat,22,Any modern method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),41.2,44.6,43.1,56.5
Gujarat,24,Male sterilization (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0,0.2,0.1,0.6
Gujarat,25,IUD/PPIUD (%),Current Use of Family Planning Methods (currently married women age 15-49 years),4.5,1.9,3,4.4
Gujarat,26,Pill (%),Current Use of Family Planning Methods (currently married women age 15-49 years),1.6,1.2,1.4,2.6
Gujarat,27,Condom (%),Current Use of Family Planning Methods (currently married women age 15-49 years),7.5,2.8,4.9,5.8
Gujarat,28,Total unmet need (%),Unmet Need for Family Planning (currently married women age 15-49 years),18.6,15.6,17,8.4
Gujarat,29,Unmet need for spacing (%),Unmet Need for Family Planning (currently married women age 15-49 years),6.5,6.8,6.7,4
Gujarat,30,Health worker ever talked to female non-users about family planning (%),Quality of Family Planning Services,20.7,17.5,18.9,14.6
Gujarat,31,Current users ever told about side effects of current method (%),Quality of Family Planning Services,54.2,42.2,47,39.8
Gujarat,32,Mothers who had antenatal check-up in the first trimester (%),Maternity Care (for last birth in the 5 years before the survey),79.5,69.7,73.9,55
Gujarat,33,Mothers who had at least 4 antenatal care visits (%),Maternity Care (for last birth in the 5 years before the survey),80.5,63.2,70.6,50.5
Gujarat,34,Mothers whose last birth was protected against neonatal tetanus (%),Maternity Care (for last birth in the 5 years before the survey),91.1,83.5,86.8,80.4
Gujarat,35,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Maternity Care (for last birth in the 5 years before the survey),44.1,31.4,36.8,25.3
Gujarat,36,Mothers who had full antenatal care (%),Maternity Care (for last birth in the 5 years before the survey),39.6,24,30.7,20.7
Gujarat,37,Registered pregnancies for which the mother received Mother and Child Protection (MCP) card (%),Maternity Care (for last birth in the 5 years before the survey),84.7,92.3,89,na
Gujarat,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Maternity Care (for last birth in the 5 years before the survey),67.5,60.3,63.4,51.8
Gujarat,39,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),Maternity Care (for last birth in the 5 years before the survey),4,12.9,8.9,na
Gujarat,40,Average out of pocket expenditure per delivery in public health facility (Rs.),Maternity Care (for last birth in the 5 years before the survey),2331,2020,2136,na
Gujarat,41,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),Maternity Care (for last birth in the 5 years before the survey),5.4,3.2,3.7,0
Gujarat,42,Children who received a health check after birth from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of birth (%),Maternity Care (for last birth in the 5 years before the survey),15.7,15.8,15.8,na
Gujarat,43,Institutional births (%),Delivery Care (for births in the 5 years before the survey),93.4,85.5,88.7,52.7
Gujarat,44,Institutional births in public facility (%),Delivery Care (for births in the 5 years before the survey),28.2,35.7,32.6,13.9
Gujarat,45,Home delivery conducted by skilled health personnel (out of total deliveries) (%),Delivery Care (for births in the 5 years before the survey),1.8,2.5,2.2,10.4
Gujarat,46,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),Delivery Care (for births in the 5 years before the survey),92.3,83.9,87.3,63
Gujarat,47,Births delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),27.8,12,18.4,8.9
Gujarat,48,Births in a private health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),33.9,20.1,26.6,18
Gujarat,49,Births in a public health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),20.4,5.5,10.8,13.8
Gujarat,50,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",Child Immunizations and Vitamin A Supplementation,50.4,50.4,50.4,45.2
Gujarat,51,Children age 12-23 months who have received BCG (%),Child Immunizations and Vitamin A Supplementation,90.6,85.9,87.9,86.4
Gujarat,52,Children age 12-23 months who have received 3 doses of polio vaccine (%),Child Immunizations and Vitamin A Supplementation,61.5,63,62.3,65.3
Gujarat,53,Children age 12-23 months who have received 3 doses of DPT vaccine (%),Child Immunizations and Vitamin A Supplementation,77.6,69.1,72.7,61.4
Gujarat,54,Children age 12-23 months who have received measles vaccine (%),Child Immunizations and Vitamin A Supplementation,76.7,73.7,75,65.7
Gujarat,55,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),Child Immunizations and Vitamin A Supplementation,40.5,37.2,38.6,na
Gujarat,56,Children age 9-59 months who received a vitamin A dose in last 6 months (%),Child Immunizations and Vitamin A Supplementation,69.9,72.2,71.2,12.8
Gujarat,57,Children age 12-23 months who received most of the vaccinations in public health facility (%),Child Immunizations and Vitamin A Supplementation,78.2,93.9,87.1,82.2
Gujarat,58,Children age 12-23 months who received most of the vaccinations in private health facility (%),Child Immunizations and Vitamin A Supplementation,21.8,5.6,12.6,15.1
Gujarat,59,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),7.7,8.8,8.4,13.1
Gujarat,60,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),Treatment of Childhood Diseases (children under age 5 years),49.7,44,46.2,26.3
Gujarat,61,Children with diarrhoea in the last 2 weeks who received zinc (%),Treatment of Childhood Diseases (children under age 5 years),13.2,19.9,17.4,na
Gujarat,62,Children with diarrhoea in the last 2 weeks taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),72.1,61.3,65.4,60.9
Gujarat,63,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),1.5,1.4,1.4,4.7
Gujarat,64,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),76.3,66.5,70.2,72.2
Gujarat,65,Children under age 3 years breastfed within one hour of birth (%),Child Feeding Practices and Nutritional Status of Children,53,47.8,50,27.1
Gujarat,66,Children under age 6 months exclusively breastfed (%),Child Feeding Practices and Nutritional Status of Children,48.7,60.2,55.8,47.8
Gujarat,67,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),Child Feeding Practices and Nutritional Status of Children,55.4,44.4,49.4,54.1
Gujarat,68,Breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,6.1,5.6,5.8,na
Gujarat,69,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,2.6,3,2.8,na
Gujarat,70,Total children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,5.3,5.2,5.2,na
Gujarat,71,Children under 5 years who are stunted (height-for-age) (%),Child Feeding Practices and Nutritional Status of Children,31.7,42.9,38.5,51.7
Gujarat,72,Children under 5 years who are wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,23.4,28.5,26.4,18.7
Gujarat,73,Children under 5 years who are severely wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,8.6,10.2,9.5,5.8
Gujarat,74,Children under 5 years who are underweight (weight-for-age) (%),Child Feeding Practices and Nutritional Status of Children,32,44.2,39.3,44.6
Gujarat,75,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),18.1,34.3,27.2,36.3
Gujarat,76,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),19,29.6,24.7,36.1
Gujarat,77,Women who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),34.5,15.4,23.7,16.7
Gujarat,78,Men who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),25.9,14.4,19.7,11.3
Gujarat,79,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,59.5,64.6,62.6,69.7
Gujarat,80,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),Anaemia among Children and Adults,51.8,57.6,55.1,55.2
Gujarat,81,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,47.2,54.2,51.3,60.8
Gujarat,82,All women age 15-49 years who are anaemic (%),Anaemia among Children and Adults,51.6,57.5,54.9,55.3
Gujarat,83,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Anaemia among Children and Adults,17.8,25,21.7,22.2
Gujarat,84,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.3,5.3,5.8,na
Gujarat,85,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3,2.5,2.7,na
Gujarat,86,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,8.2,7.2,7.6,na
Gujarat,87,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,3.8,3.4,3.5,na
Gujarat,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.2,6.7,7.4,na
Gujarat,89,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,1.7,1.3,1.5,na
Gujarat,90,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,0.7,0.8,0.8,na
Gujarat,91,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,10.8,9.2,9.9,na
Gujarat,92,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,2,2.5,2.3,na
Gujarat,93,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,0.6,0.9,0.8,na
Gujarat,94,Cervix (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,25.6,24.9,25.2,na
Gujarat,95,Breast (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,7,7.9,7.5,na
Gujarat,96,Oral cavity (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,13.4,11.7,12.5,na
Gujarat,97,Women who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),24.7,13.3,18.4,18.8
Gujarat,98,Men who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),41.4,22.6,31.4,34.8
Gujarat,99,Women who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),55.7,33.1,43.2,37.2
Gujarat,100,Men who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),79.4,59,68.6,72.4
